import time: self [us] | cumulative | imported package
import time:       217 |        217 | zipimport
import time:       930 |        930 | _frozen_importlib_external
import time:       114 |        114 |     _codecs
import time:       999 |       1112 |   codecs
import time:      1749 |       1749 |   encodings.aliases
import time:      1741 |       4601 | encodings
import time:       896 |        896 | encodings.utf_8
import time:       245 |        245 | _signal
import time:       709 |        709 | encodings.latin_1
import time:        89 |         89 |     _abc
import time:       516 |        605 |   abc
import time:       622 |       1226 | io
import time:       132 |        132 |   _locale
import time:       352 |        483 | _bootlocale
import time:       154 |        154 |       _stat
import time:       457 |        611 |     stat
import time:       305 |        305 |       genericpath
import time:       668 |        973 |     posixpath
import time:      2251 |       2251 |     _collections_abc
import time:      1250 |       5083 |   os
import time:       514 |        514 |   _sitebuiltins
import time:       718 |        718 |   types
import time:       751 |        751 |       warnings
import time:       663 |       1413 |     importlib
import time:       492 |        492 |       importlib.machinery
import time:      1308 |       1799 |     importlib.abc
import time:       121 |        121 |           _operator
import time:      1254 |       1375 |         operator
import time:       310 |        310 |         keyword
import time:       635 |        635 |           _heapq
import time:       348 |        982 |         heapq
import time:       196 |        196 |         itertools
import time:       378 |        378 |         reprlib
import time:       113 |        113 |         _collections
import time:      1453 |       4803 |       collections
import time:       102 |        102 |         _functools
import time:       875 |        977 |       functools
import time:      1004 |       6783 |     contextlib
import time:       998 |      10992 |   importlib.util
import time:       124 |        124 |   sitecustomize
import time:       219 |        219 |   usercustomize
import time:      3081 |      20726 | site
import time:      1033 |       1033 |         enum
import time:       124 |        124 |           _sre
import time:       546 |        546 |             sre_constants
import time:       955 |       1500 |           sre_parse
import time:       907 |       2531 |         sre_compile
import time:       518 |        518 |         copyreg
import time:      1024 |       5104 |       re
import time:       342 |       5446 |     fnmatch
import time:       155 |        155 |     errno
import time:       548 |        548 |     zlib
import time:       405 |        405 |       _compression
import time:       765 |        765 |         time
import time:       357 |        357 |               token
import time:      1522 |       1879 |             tokenize
import time:       497 |       2375 |           linecache
import time:       806 |       3180 |         traceback
import time:       466 |        466 |         _weakrefset
import time:      1113 |       5523 |       threading
import time:       705 |        705 |       _bz2
import time:       678 |       7309 |     bz2
import time:       509 |        509 |       _lzma
import time:       591 |       1099 |     lzma
import time:        97 |         97 |     pwd
import time:       480 |        480 |     grp
import time:      1175 |      16305 |   shutil
import time:       180 |        180 |       nt
import time:       249 |        249 |       nt
import time:       179 |        179 |       nt
import time:       543 |       1149 |     ntpath
import time:       590 |        590 |       urllib
import time:      1877 |       2466 |     urllib.parse
import time:      1476 |       5091 |   pathlib
