negeri,parlimen,dun
JOHOR,SEGAMAT,"BULOH KASAP"
JOHOR,SEGAMAT,JEMENTAH
JOHOR,SEKIJANG,PEMANIS
JOHOR,SEKIJANG,KEMELAH
JOHOR,LABIS,TENANG
JOHOR,LABIS,BEKOK
JOHOR,PAGOH,"BUKIT SERAMPANG"
JOHOR,PAGOH,JORAK
JOHOR,LEDANG,GAMBIR
JOHOR,LEDANG,TANGKAK
JOHOR,LEDANG,SEROM
JOHOR,BAKRI,BENTAYAN
JOHOR,BAKRI,"SUNGAI ABONG"
JOHOR,BAKRI,"BUKIT NANING"
JOHOR,MUAR,MAHARANI
JOHOR,MUAR,"SUNGAI BALANG"
JOHOR,"PARIT SULONG",SEMERAH
JOHOR,"PARIT SULONG","SRI MEDAN"
JOHOR,"AYER HITAM","YONG PENG"
JOHOR,"AYER HITAM",SEMARANG
JOHOR,"SRI GADING","PARIT YAANI"
JOHOR,"SRI GADING","PARIT RAJA"
JOHOR,"BATU PAHAT",PENGGARAM
JOHOR,"BATU PAHAT",SENGGARANG
JOHOR,"BATU PAHAT",RENGIT
JOHOR,"SIMPANG RENGGAM",MACHAP
JOHOR,"SIMPANG RENGGAM",LAYANG-LAYANG
JOHOR,KLUANG,MENGKIBOL
JOHOR,KLUANG,MAHKOTA
JOHOR,SEMBRONG,PALOH
JOHOR,SEMBRONG,KAHANG
JOHOR,MERSING,ENDAU
JOHOR,MERSING,TENGGAROH
JOHOR,TENGGARA,PANTI
JOHOR,TENGGARA,"PASIR RAJA"
JOHOR,"KOTA TINGGI",SEDILI
JOHOR,"KOTA TINGGI","JOHOR LAMA"
JOHOR,PENGERANG,PENAWAR
JOHOR,PENGERANG,"TANJONG SURAT"
JOHOR,TEBRAU,TIRAM
JOHOR,TEBRAU,"PUTERI WANGSA"
JOHOR,"PASIR GUDANG","JOHOR JAYA"
JOHOR,"PASIR GUDANG",PERMAS
JOHOR,"JOHOR BAHRU","TANJONG PUTERI"
JOHOR,"JOHOR BAHRU",STULANG
JOHOR,PULAI,"PENGKALAN RINTING"
JOHOR,PULAI,KEMPAS
JOHOR,"GELANG PATAH",SKUDAI
JOHOR,"GELANG PATAH","NUSA JAYA"
JOHOR,KULAI,"BUKIT PERMAI"
JOHOR,KULAI,"BUKIT BATU"
JOHOR,KULAI,SENAI
JOHOR,PONTIAN,BENUT
JOHOR,PONTIAN,"PULAI SEBATANG"
JOHOR,"TANJONG PIAI","PEKAN NENAS"
JOHOR,"TANJONG PIAI",KUKUP
KEDAH,LANGKAWI,"AYER HANGAT"
KEDAH,LANGKAWI,KUAH
KEDAH,JERLUN,"KOTA SIPUTEH"
KEDAH,JERLUN,"AYER HITAM"
KEDAH,"KUBANG PASU","BUKIT KAYU HITAM"
KEDAH,"KUBANG PASU",JITRA
KEDAH,"PADANG TERAP","KUALA NERANG"
KEDAH,"PADANG TERAP",PEDU
KEDAH,"POKOK SENA","BUKIT LADA"
KEDAH,"POKOK SENA","BUKIT PINANG"
KEDAH,"POKOK SENA",DERGA
